id,type,domain,enabled,date_added,date_modified,comment
1,1,sjs.bizographics.com,1,1589164525,1589164525,"Migrated from /etc/pihole/blacklist.txt"
2,1,siteintercept.qualtrics.com,1,1589164525,1589164525,"Migrated from /etc/pihole/blacklist.txt"
3,1,smarticon.geotrust.com,1,1589164525,1589164525,"Migrated from /etc/pihole/blacklist.txt"
5,1,www.google-analytics.com,1,1589164525,1589164525,"Migrated from /etc/pihole/blacklist.txt"
6,1,script.crazyegg.com.cdn.cloudflare.net,1,1589164525,1589164525,"Migrated from /etc/pihole/blacklist.txt"
7,1,px.moatads.com,1,1589164525,1589164525,"Migrated from /etc/pihole/blacklist.txt"
8,1,www.summerhamster.com,1,1589164525,1589164525,"Migrated from /etc/pihole/blacklist.txt"
9,1,csi.gstatic.com,1,1589164525,1589164525,"Migrated from /etc/pihole/blacklist.txt"
10,1,gcdn.2mdn.net,1,1589164525,1589164525,"Migrated from /etc/pihole/blacklist.txt"
11,0,web.vortex.data.microsoft.com,0,1589164525,1596806221,"Migrated from /etc/pihole/whitelist.txt"
17,0,go.redirectingat.com,1,1589164525,1596812019,"Migrated from /etc/pihole/whitelist.txt"
20,0,weeklyad.target.com,0,1589164525,1596806436,"Migrated from /etc/pihole/whitelist.txt"
21,0,mfc-l2700dw.ethertonhome.local,1,1589164525,1596806246,"Migrated from /etc/pihole/whitelist.txt"
22,0,ojrq.net,0,1589164525,1596806439,"Migrated from /etc/pihole/whitelist.txt"
23,0,bs.serving-sys.com,0,1589164525,1596806440,"Migrated from /etc/pihole/whitelist.txt"
24,0,settings-win.data.microsoft.com,0,1589164525,1596806440,"Migrated from /etc/pihole/whitelist.txt"
25,0,watson.telemetry.microsoft.com,0,1589164525,1596806441,"Migrated from /etc/pihole/whitelist.txt"
28,0,ade.googlesyndication.com,0,1589164525,1596806257,"Migrated from /etc/pihole/whitelist.txt"
29,0,pagead2.googlesyndication.com,0,1589164525,1596806260,"Migrated from /etc/pihole/whitelist.txt"
31,0,pixel.adsafeprotected.com,0,1589164525,1596806265,"Migrated from /etc/pihole/whitelist.txt"
32,0,partnerad.l.doubleclick.net,0,1589164525,1596806269,"Migrated from /etc/pihole/whitelist.txt"
33,0,www.ojrq.net,0,1589164525,1596806443,"Migrated from /etc/pihole/whitelist.txt"
36,0,traffic.outbrain.com,0,1589164525,1596806444,"Migrated from /etc/pihole/whitelist.txt"
37,0,btg.mtvnservices.com,0,1589164525,1596806445,"Migrated from /etc/pihole/whitelist.txt"
